latitude,longitude,cemetery,historic_county,type,cremation_burials,inhumation_burials,date_range,citation,museum,link,full_reference,the_geom,created_at,updated_at,cartodb_id
50.827948,-0.45087329,Highdown Hill,Sussex,Majority Inhumation Cemetery,30,190,5th to 7th c,"Read 1895; Griffith 1925; Welch 1983",Unknown Location,,,0101000020E6100000B627CCA41BDBDCBFF1643733FA694940,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,119
52.211154,-1.8755569,Alcester,Warwickshire,Mixed Cemetery,2,1,5th to 6th c,Read and Smith 1904,Unknown Location,,,0101000020E61000002398B4F34702FEBFB5352218071B4A40,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,3
51.978648,-1.2457834,Souldern,Oxfordshire,Mixed Cemetery,3,3,5th to 6th c,Salzman 1939,Unknown Location,,,0101000020E61000001E650E93BAEEF3BFDD25715644FD4940,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,206
51.614582,-1.64178,Watchfield,Berkshire,Majority Inhumation Cemetery,2,43,Late 5th to 6th c,Scull 1992,Unknown Location,,,0101000020E61000004DA1F31ABB44FABFEA5A7B9FAACE4940,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,244
53.850194,-0.62882402,Sancton,Yorkshire,Majority Cremation Cemetery,500,100,Mid-5th to Mid-7th,"Sheppard 1909; Myres and Southern 1973; Timby 1993",Unknown Location,,,0101000020E610000023DB1A8D531FE4BFB2A03028D3EC4A40,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,191
54.596595,-1.3065776,Norton-on-Tees,Durham,Majority Inhumation Cemetery,3,117,Mid-6th to Early 7th c,Sherlock and Welch 1992,Unknown Location,,,0101000020E61000008DFADAE9BDE7F4BF83FA96395D4C4B40,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,167
51.392916,-0.46780242,Shepperton I,Middlesex,Majority Inhumation Cemetery,3,10,5th to 6th c,"Shurlock 1868; Vulliamy 1930",Unknown Location,,,0101000020E610000021F0B88F79F0DDBF9E094D124BB24940,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,196
52.944815,-1.0787879,Holme Pierrepont,Nottinghamshire,Mixed Cemetery,30,60,5th to 7th c,Skelton 1931,Unknown Location,,,0101000020E6100000D820DD19B742F1BF97E2AAB2EF784A40,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,125
52.237316,-0.87383958,St Andrew's Hospital,Northamptonshire,Mixed Cemetery,3,2,5th to 6th c,"Smith 1902; Brown 1915",Unknown Location,,,0101000020E6100000AD9C416C7EF6EBBFA568E55E601E4A40,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,212
52.563314,-0.25177651,Woodstone,Huntingdonshire,Majority Inhumation Cemetery,2,50,5th to 6th c,Smith 1926,Unknown Location,,,0101000020E6100000107716391B1DD0BF81B053AC1A484A40,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,256
51.458402,-0.9420483,Earley,Berkshire,Mixed Cemetery,8,5,5th to 6th c,Stevens 1894,Unknown Location,,,0101000020E6100000A213F8794225EEBFE335AFEAACBA4940,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,84
52.190153,-1.6971515,Alveston Manor Hotel,Warwickshire,Mixed Cemetery,38,77,5th to 6th c,Stirland (Forthcoming),Unknown Location,,,0101000020E6100000AEB7CD548827FBBF3F1EFAEE56184A40,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,6
51.387589,0.10691717,Orpington,Kent,Mixed Cemetery,19,52,5th to 6th c,Tester 1968,Unknown Location,,,0101000020E610000040E78774EC5EBB3F09A52F849CB14940,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,169
52.99533,-0.41318326,Sleaford,Lincolnshire,Majority Inhumation Cemetery,6,400,6th to 7th c,Thomas 1887,Unknown Location,,,0101000020E61000003B193D339871DABF255D33F9667F4A40,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,200
50.885439,-0.19590423,Saddlescombe,Sussex,Majority Cremation Cemetery,3,1,5th to 6th c,Toms 1915,Unknown Location,,,0101000020E610000080C07FCA6313C9BF2DCDAD1056714940,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,189
53.495657,-0.59657054,Cleatham,Lincolnshire,Majority Cremation Cemetery,1204,62,5th to 7th c,"Trollope 1857; Leahy 2007",North Lincolnshire Museum,,,0101000020E61000006FD3E1191B17E3BF498446B071BF4A40,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,66
52.978062,-0.53892793,Ancaster,Lincolnshire,Majority Cremation Cemetery,40,1,5th to Early 6th c,"Trollope 1870; Williams 2002",Unknown Location,,,0101000020E6100000020848C9E53EE1BFEDBAB722317D4A40,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,8
53.049064,-0.39778319,Ruskington,Lincolnshire,Majority Inhumation Cemetery,3,2,5th to 6th c,Trollope 1872,Unknown Location,,,0101000020E61000001DB5FC9F4775D9BF9AB4A9BA47864A40,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,188
51.499612,0.31812077,Stifford Clays,Essex,Majority Inhumation Cemetery,1,8,6th c,Tyler 1996,Unknown Location,,,0101000020E61000007D03D537175CD43F36583849F3BF4940,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,219
51.744737,0.51173607,Springfield Lyons,Essex,Mixed Cemetery,100,100,Early 5th to 7th c,"Tyler 1996; Tyler and Major 2005",Unknown Location,,,0101000020E610000094AC9A522460E03F828FC18A53DF4940,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,211
52.730065,0.95166334,Beetley Quarry,Norfolk,Majority Cremation Cemetery,16,1,5th to 6th c,Unger 2008,Unknown Location,,,0101000020E6100000A34443AD0674EE3F257A19C5725D4A40,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,22
